Recipe,Proteins (g),Carbohydrates (g),Ingredients,Instructions,Cuisines
Tofu Stir Fry,10,20,"Tofu, Broccoli, Carrots, Soy Sauce, Ginger","Press and cube tofu, then sauté in a pan until golden. Add broccoli and carrots, stir-fry for a few minutes. Mix in soy sauce and ginger, cooking until veggies are tender. Serve hot over rice or noodles. This dish is quick, healthy, and full of flavor!",Chinese
Shrimp Tacos,20,25,"Shrimp, Corn Tortillas, Cabbage, Lime, Cilantro",Sauté shrimp in a skillet until pink and cooked through. Warm corn tortillas and fill them with shrimp and shredded cabbage. Squeeze lime juice over the top and garnish with cilantro. Serve immediately for a fresh and zesty meal. Perfect for a quick dinner!,Mexican
Lentil Salad,18,30,"Lentils, Cucumber, Tomato, Feta, Olive Oil","Cook lentils until tender, then drain and cool. In a bowl, combine lentils with diced cucumber, tomatoes, and crumbled feta. Drizzle with olive oil, season to taste, and toss gently. Chill for a refreshing salad. This dish is healthy and filling!",Mediterranean
Stuffed Peppers,15,35,"Bell Peppers, Ground Beef, Rice, Tomato Sauce, Cheese","Preheat oven to 375°F (190°C). Cook ground beef and mix with cooked rice and tomato sauce. Stuff the mixture into halved bell peppers, top with cheese, and place in a baking dish. Bake for 30-35 minutes until peppers are tender. A hearty and satisfying meal!",American
Egg Fried Rice,10,50,"Rice, Eggs, Peas, Carrots, Soy Sauce","Cook rice according to instructions and let it cool. In a skillet, scramble eggs and set aside. Sauté peas and carrots in oil, then add rice and mix well. Stir in the scrambled eggs and soy sauce, cooking until heated through. This comfort food is quick and easy!",Chinese
Chicken Quesadilla,25,40,"Chicken, Tortillas, Cheese, Salsa, Bell Peppers","Cook chicken and slice it into strips. Layer chicken, cheese, and sliced bell peppers on a tortilla, folding it in half. Cook on a skillet until cheese melts and tortillas are golden. Cut into wedges and serve with salsa. A cheesy and delicious dish!",Mexican
Beef Tacos,30,30,"Ground Beef, Tortillas, Lettuce, Tomato, Cheese","Brown ground beef in a skillet, seasoning as desired. Warm tortillas and fill them with beef, topped with shredded lettuce, diced tomatoes, and cheese. Fold and serve immediately. Quick and easy, these tacos are a family favorite!",Mexican
Vegetable Stir Fry,5,25,"Mixed Vegetables, Soy Sauce, Garlic, Ginger, Olive Oil","Heat olive oil in a pan, adding minced garlic and ginger. Stir-fry mixed vegetables until tender. Drizzle with soy sauce and toss to combine. Serve over rice or noodles. A colorful and healthy dish that's easy to make!",Chinese
Baked Ziti,12,55,"Ziti Pasta, Marinara Sauce, Cheese, Ground Beef, Herbs","Cook ziti according to package instructions. In a skillet, brown ground beef and mix with marinara sauce. Combine cooked pasta with sauce and transfer to a baking dish. Top with cheese and bake until bubbly. Serve hot for a comforting Italian meal!",Italian
Fish Tacos,22,28,"White Fish, Tortillas, Cabbage, Lime, Avocado","Cook fish until flaky and warm tortillas. Fill tortillas with fish, shredded cabbage, and diced avocado. Squeeze fresh lime juice over the top. Serve with extra lime on the side. Enjoy these fresh and tasty tacos!",Mexican
Pork Chops,28,0,"Pork Chops, Olive Oil, Garlic, Herbs","Heat olive oil in a pan, season pork chops with garlic and herbs. Sear the chops until cooked through. Let rest before serving. Simple yet flavorful, these chops are a great main dish!",American
Greek Yogurt Parfait,10,20,"Greek Yogurt, Granola, Berries, Honey",Layer Greek yogurt with granola and fresh berries in a cup. Drizzle with honey on top for sweetness. Serve immediately for a delicious breakfast or snack. This parfait is both nutritious and satisfying!,Greek
Cauliflower Rice Bowl,4,10,"Cauliflower, Olive Oil, Garlic, Peas, Carrots","Rinse and rice cauliflower in a food processor. Sauté garlic in olive oil, then add riced cauliflower, peas, and carrots. Cook until tender, stirring occasionally. Serve warm for a healthy and low-carb meal!",Healthy
Black Bean Burger,15,35,"Black Beans, Bread Bun, Lettuce, Tomato, Avocado","Mash black beans and mix with breadcrumbs and spices. Form patties and cook until crispy. Serve on buns with lettuce, tomato, and avocado. These burgers are hearty and full of flavor!",American/Vegan
Turkey Sandwich,25,40,"Turkey, Bread, Lettuce, Tomato, Mayo","Layer sliced turkey, lettuce, and tomato on your choice of bread. Spread mayo on one side before assembling. Cut and serve as a sandwich. A classic and quick option for lunch!",American
Caprese Salad,7,4,"Tomatoes, Mozzarella, Basil, Olive Oil, Balsamic","Slice tomatoes and mozzarella, then layer with fresh basil. Drizzle with olive oil and balsamic vinegar. Serve chilled as a refreshing salad or appetizer. This dish is light and full of flavor!",Italian
Pasta Salad,8,42,"Pasta, Cherry Tomatoes, Olive Oil, Basil, Cheese","Cook pasta according to package instructions. Mix with halved cherry tomatoes, olive oil, and cheese. Toss in fresh basil before serving. This salad is perfect for picnics or potlucks!",Italian
Lamb Curry,30,15,"Lamb, Curry Powder, Coconut Milk, Spinach, Rice","Brown lamb in a pot, then stir in curry powder and coconut milk. Simmer until tender, adding spinach at the end. Serve over rice for a flavorful dish. This curry is rich and satisfying!",Indian
Sushi Rolls,15,60,"Sushi Rice, Nori, Cucumber, Avocado, Fish","Cook sushi rice and let it cool. Place nori on a bamboo mat, spread rice evenly, and add fillings. Roll tightly, slice into pieces, and serve with soy sauce. Enjoy making these fun and delicious rolls!",Japanese
Vegetable Soup,5,15,"Carrots, Celery, Onion, Vegetable Broth, Herbs","Sauté chopped vegetables until soft. Add broth and herbs, simmer for 15 mins, season to taste, and serve hot.",American
Pasta Primavera,8,40,"Pasta, Zucchini, Bell Peppers, Olive Oil, Parmesan","Cook pasta al dente. Sauté veggies in olive oil, combine with pasta, stir in cheese, and serve warm.",Italian
Quinoa Bowl,15,30,"Quinoa, Black Beans, Corn, Avocado, Lime","Cook quinoa as per package instructions. Mix with beans and corn, top with avocado and lime juice, and serve.",Mexican/Healthy
Omelette,12,2,"Eggs, Spinach, Cheese, Onion, Pepper","Whisk eggs, pour into a heated pan, add veggies and cheese, cook until set, fold, and serve immediately.",French
Grilled Salmon,25,0,"Salmon, Lemon, Garlic, Olive Oil, Dill","Marinate salmon in olive oil and lemon, grill for 6-8 minutes per side, garnish with dill, and serve hot.",American/Seafood
Chickpea Curry,12,45,"Chickpeas, Coconut Milk, Curry Powder, Spinach, Rice","Sauté onions, add chickpeas and spices, stir in coconut milk, simmer with spinach, and serve over rice.",Indian
